Title,Description,Price,Rating,Review
"Apple iPhone 14 Plus (Blue, 256 GB)","256 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 12MP + 12MP | 12MP Front Camera, A15 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹79,900",4.6,"4,755 Reviews"
"Apple iPhone 16 Pro Max (Natural Titanium, 512 GB)","512 GB ROM, 17.53 cm (6.9 inch) Super Retina XDR Display, 48MP + 48MP + 12MP | 12MP Front Camera, A18 Pro Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,55,900",4.6,50 Reviews
"Apple iPhone 16 Pro (White Titanium, 1 TB)","1 TB ROM, 16.0 cm (6.3 inch) Super Retina XDR Display, 48MP + 48MP + 12MP | 12MP Front Camera, A18 Pro Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,62,900",4.7,83 Reviews
"Apple iPhone SE (Black, 64 GB)","64 GB ROM, 11.94 cm (4.7 inch) Retina HD Display, 12MP Rear Camera | 7MP Front Camera, A13 Bionic Chip with 3rd Gen Neural Engine Processor, Water and Dust Resistant (1 meter for Upto 30 minutes, IP67), Fast Charge Capable, Wireless charging (Works with Qi Chargers | Qi Chargers are Sold Separately, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹39,900",4.5,"11,990 Reviews"
"Apple iPhone XR (Yellow, 64 GB) (Includes EarPods, Power Adapter)","64 GB ROM, 15.49 cm (6.1 inch) Display, 12MP Rear Camera | 7MP Front Camera, A12 Bionic Chip Processor, iOS 13 Compatible, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹47,900",4.6,"8,479 Reviews"
"Apple iPhone 15 Pro (Blue Titanium, 1 TB)","1 TB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP + 12MP | 12MP Front Camera, A17 Pro Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,84,900",4.6,160 Reviews
"Apple iPhone 15 Pro (Blue Titanium, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP + 12MP | 12MP Front Camera, A17 Pro Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,34,900",4.6,160 Reviews
"Apple iPhone SE 3rd Gen (Product (Red), 64 GB)","64 GB ROM, 11.94 cm (4.7 inch) Retina HD Display, 12MP Rear Camera | 7MP Front Camera, A15 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹47,600",4.4,139 Reviews
"Apple iPhone 16e (White, 512 GB)","512 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP Rear Camera | 12MP Front Camera, A18 Chip, 6 Core Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹89,900",4.6,30 Reviews
"Apple iPhone 15 Pro (Black Titanium, 512 GB)","512 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP + 12MP | 12MP Front Camera, A17 Pro Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,64,900",4.6,160 Reviews
